"","regio","year","type","duration","max_freq","min_freq","concavity"
"129","west",2005,"mo6f",0.161,5253.5667,2394.36667,6
"130","west",2005,"mo6gg",0.159958,4923.7,2348.54583,5
"131","west",2005,"mo78",0.146692,6387.1923,1953.90769,7
"132","west",2005,"mo78-1",0.144429,6343.3143,2009.82857,8
"133","west",2005,"mo78a",0.13725,6391.6917,2140.84167,4
"134","west",2005,"mo78aa",0.166,7008.9,1944.1,3
"135","west",2005,"mo78b",0.11075,6292.675,3003.325,5
"136","west",2005,"mo79",0.141667,6986.6167,2592.53333,6
"137","west",2005,"mo79a",0.121938,6956.1875,2708.18125,4
"138","west",2005,"mo79b",0.135333,5516.7333,2563.16667,3
"139","west",2005,"mo79bb",0.145857,6912.3457,2155.29143,3
"140","west",2005,"mo79c",0.111304,4061.0696,1928.43913,1
"141","west",2005,"mo80",0.169,3445.3,1961.2,7
"142","west",2005,"mo86a",0.118333,3319.0667,2142.76667,3
"143","west",2005,"mo90",0.131589,4601.4274,1907.33973,5
"144","west",2005,"mo90-2chev",0.127,5058.65,2153.975,5
"145","west",2005,"mo90a",0.102,3468.4,1707.4,3
"146","west",2005,"mo90b",0.1342,3592.72,1888.42,3
"147","west",2005,"mo90bpart",0.1215,3682.3,1841.2,5
"148","west",2005,"mo90c",0.1195,7350,2432,5
"149","west",2005,"mo91",0.151595,4072.5452,1978.40476,6
"150","west",2005,"mo91a",0.08,3355.45,1997.25,7
"151","west",2005,"mo91b2",0.157,3901.5,1885,4
"152","west",2005,"mo91b4",0.191,3408.7,1810.9,8
"153","west",2005,"mo91brokes",0.157,3888.2,1944.1,6
"154","west",2005,"mo91bs",0.14775,3928.1125,1958.4375,6
"155","west",2005,"mo91slash",0.148333,3580.0333,1782.7,8
"156","west",2005,"mo92",0.142704,4042.137,2002.31111,4
"157","west",2005,"mo92a",0.153333,4792.7333,1964.53333,6
"158","west",2005,"mo981a1",0.21,5808.6667,2445.76667,5
"159","west",2005,"mo98c",0.156,7359.1,1969.7,4
"160","west",2005,"mo6z",0.085,5113,3195.7,5
"161","west",2005,"mo91b1",0.165,3515.2,2300.9,8
"162","east",2005,"mo1",0.206037,6073.613,2784.416,8
"163","east",2005,"mo1a",0.231333,7169.867,3278.667,14
"164","east",2005,"mo1aa",0.216667,5683.017,2761.083,12
"165","east",2005,"mo1aaa",0.224667,6109.867,2873.2,10
"166","east",2005,"mo1aaaswan",0.262167,5201.983,2235.667,11
"167","east",2005,"mo1b",0.223492,6009.362,2749.128,10
"168","east",2005,"mo1c",0.209333,5452.617,2668.217,8
"169","east",2005,"mo1d",0.168556,7285.35,3813.972,9
"170","east",2005,"mo1dd",0.176111,7189.267,3852.789,11
"171","east",2005,"mo1e",0.233583,6225.167,2502.458,10
"172","east",2005,"mo1g",0.149778,7118.286,3858.433,7
"173","east",2005,"mo1g2t",0.2005,7213.9,3811.15,11
"174","east",2005,"mo1gg",0.184333,7720.3,3665.733,9
"175","east",2005,"mo1gtent",0.183667,7072.367,3419.3,6
"176","east",2005,"mo1h",0.107222,7382.356,3603.9,5
"177","east",2005,"mo1h31",0.120667,7072.367,3696.933,5
"178","east",2005,"mo1i",0.14075,7176.732,3633.105,7
"179","east",2005,"mo1j",0.200482,5887.333,2672.711,6
"180","east",2005,"mo1j1",0.216667,5568.267,1975.1,7
"181","east",2005,"mo1jc1",0.191667,5888.8,3024.8,8
"182","east",2005,"mo1jswan",0.250889,5271.122,2188.844,11
"183","east",2005,"mo1ju3",0.1065,4515.2,2367.2,8
"184","east",2005,"mo1k",0.134333,7282.008,3769.675,5
"185","east",2005,"mo1l",0.171333,7736.833,3784.333,13
"186","east",2005,"mo1m",0.186389,6550.922,3185.278,6
"187","east",2005,"mo21",0.2935,6241.95,2438.45,13
"188","east",2005,"mo4",0.222333,5684.233,2490.067,8
"189","east",2005,"mo6",0.132667,6130.933,3056.633,3
"190","east",2005,"mo90",0.114,4208.35,1863.1,5
"191","east",2005,"mo91",0.164,4107.9,1961.2,6
"192","east",2005,"mo95b",0.173,3574.3,1913,3
"193","east",2005,"mo98-0",0.066333,3005.767,1929.733,0
"194","east",2005,"mo98-1",0.144196,4196.055,1900.564,3
"195","east",2005,"mo98-2",0.10497,3990.191,1950.152,2
"196","east",2005,"mo98-2aaa",0.107556,4426.549,2025.684,2
"197","east",2005,"mo98a-1",0.142103,3803.187,1915.749,1
"198","east",2005,"mo98a-2",0.092792,3636.254,2022.104,1
"199","east",2005,"mo98b1",0.098333,3405.567,1788.733,2
"200","east",2005,"mo99",0.12,3675,1945.55,6
"201","east",2005,"mo99a",0.123,3812.4,1751.6,4
